Algorithm,aucScore,accuracy,balancedAccuracy,f1Score,hammingLoss,logLoss,precision
[BalancedAccuracy] SVM,0.8892063511976449,0.841272003958192,0.8153573886035103,0.6825170561110032,0.15872799604180793,0.3831208234663395,0.7551524858637241
[Recall] SVM,0.8615379951157501,0.8334841932331154,0.7824456323755621,0.6488959424685633,0.16651580676688474,0.4536073558058904,0.7207111043836788
[BalancedAccuracy] Random Forest,0.8701450220794861,0.8582343661888523,0.7916354945805822,0.6731777011816462,0.14176563381114782,0.3868130679705198,0.7519481212374964
[Recall] Random Forest,0.8701450220794861,0.8582343661888523,0.7916354945805822,0.6731777011816462,0.14176563381114782,0.3868130679705198,0.7519481212374964
[BalancedAccuracy] XGBoost,0.8966184514251305,0.8713393337981621,0.831408808521708,0.7208405747956449,0.12866066620183797,0.33425365816664543,0.7725592925096345
[Recall] XGBoost,0.8966184514251305,0.8713393337981621,0.831408808521708,0.7208405747956449,0.12866066620183797,0.33425365816664543,0.7725592925096345
[BalancedAccuracy] Voting Classifier,0.896881899839422,0.8725210565221732,0.8246640938190575,0.7168884358394672,0.12747894347782696,0.3430608029682647,0.7826379133866997
